CustomerID,Name,Region,JoinDate,LoyaltyPointsQty,ContactMethod
1000,Robert Gomez,West,2/25/2024,1281,Email
1001,John Silva,East,12/1/2020,2627,SMS
1002,Mark Marshall,Central,8/8/2020,242,Phone
1003,David Brennan,North,5/21/2020,1109,Email
1004,Kerry Collins,North,9/12/2023,1058,SMS
1005,Jessica Mora,South,8/5/2021,492,Phone
1006,Hannah Ray,West,7/3/2021,2717,Email
1008,William Ramirez,East,9/15/2023,3569,Phone
1009,Zachary Bell Jr.,East,4/20/2023,2169,Email
1010,Mike Davis,East,3/23/2022,237,SMS
1012,Tara Miller,North,8/10/2020,3744,Email
1013,Alyssa Morgan,North,7/22/2022,30,SMS
1014,Cindy Woods,East,4/2/2024,503,Phone
1015,Jennifer Rodgers,North,2/12/2023,2504,Email
1016,Andrea Roberts,East,5/16/2021,3828,SMS
1017,Brittney Burnett,North,7/3/2020,764,Phone
1018,Edwin Garrison,South-West,8/31/2020,718,Email
1019,Michelle Torres,Central,11/18/2020,1447,SMS
1020,Michelle Brewer,East,7/14/2021,3676,Phone
1021,Aaron Burnett,South,2/13/2024,759,Email
1022,Austin Gutierrez,East,11/25/2021,1374,SMS
1023,Dustin Medina,East,6/14/2021,4240,Phone
1024,Andres Avila,Central,9/19/2022,2565,Email
1025,Garrett Lewis,South,8/4/2023,3376,SMS
1026,Gary Walls,North,10/5/2023,2254,Phone
1027,Anthony Schroeder,East,10/4/2020,4618,Email
1028,Haley Wagner,West,11/3/2023,3928,SMS
1029,Gina Powers,West,10/26/2022,4397,Phone
1030,Alice Robinson,East,8/6/2021,4118,Email
1031,Jessica Frazier,West,10/20/2021,2737,SMS
1032,Terri Long,East,10/23/2022,676,Phone
1033,Paul Perkins,East,3/16/2022,1567,Email
1034,Heather Smith,Central,9/16/2022,1851,SMS
1035,Lorraine Rodriguez,East,9/26/2022,4575,Phone
1036,Robert Bishop,South-West,9/14/2020,2074,Email
1037,Lisa Sanders,West,6/3/2020,3408,SMS
1038,Jason Ford,East,10/9/2023,293,Phone
1039,Brandy Good,West,5/21/2023,3136,Email
1040,Angel Lee,Central,4/8/2022,3534,SMS
1041,David Beltran,East,1/18/2021,764,Phone
1042,Christopher Dodson,North,10/30/2023,601,Email
1043,Eric Pena,West,6/30/2022,2098,SMS
1044,Anita Huerta,East,4/8/2022,1925,Phone
1045,Dr. Susan Bailey,North,10/2/2020,3870,Email
1046,Tyler Colon,Central,3/3/2021,2934,SMS
1047,Ashley Pearson,West,10/4/2020,2992,Phone
1048,Dr. Donald Proctor,North,3/17/2024,913,Email
1049,Rebecca Jordan,West,10/8/2022,4384,SMS
1050,Jeffrey Mclaughlin,East,3/28/2022,2697,Phone
1051,Amy Nguyen,Central,2/13/2024,2402,Email
1052,Brandon Hinton,South-West,11/10/2022,4989,SMS
1053,Benjamin Cline,East,1/25/2022,4414,Phone
1054,Laura Mcdonald,South,12/3/2022,4689,Email
1055,William Benitez,East,11/4/2020,453,SMS
1056,Kristina Wilson,East,5/15/2023,1945,Phone
1057,Kathy Hall,North,10/27/2023,284,Email
1058,Steven Jackson,Central,6/26/2020,869,SMS
1059,Steve Massey,West,8/6/2020,3728,Phone
1060,Mr. Christopher Thompson,South,4/10/2023,460,Email
1061,Taylor Kaufman,North,7/23/2021,2369,SMS
1062,Ashley Harmon,South,2/13/2024,1159,Phone
1063,Howard Case,South-West,2/15/2021,415,Email
1064,Joshua Cline,East,2/19/2024,3357,SMS
1065,Daniel Adams,Central,7/2/2023,3736,Phone
1066,Derrick Myers,North,4/6/2022,1937,Email
1067,Lawrence Pearson,East,4/29/2023,534,SMS
1068,Melissa Gutierrez,East,12/25/2023,2382,Phone
1069,Virginia Warren,North,8/24/2023,746,Email
1070,Brittany Johnson,East,6/4/2021,2232,SMS
1071,Christopher Frost,East,8/21/2020,1538,Phone
1072,Shannon Schmitt,East,8/23/2022,232,Email
1073,Matthew Clark,Central,8/21/2023,1158,SMS
1074,Alyssa Evans,West,10/27/2021,1277,Phone
1075,Joseph Chavez,North,1/1/2023,980,Email
1076,Glenn Shelton,East,5/1/2024,1011,SMS
1077,Amy Espinoza,North,5/29/2021,2205,Phone
1078,Danielle Fuller,South-West,12/8/2023,3506,Email
1079,Zachary Thompson MD,East,9/5/2022,1198,SMS
1080,Thomas Parker,South-West,2/28/2023,2928,Phone
1081,Ryan White,South,9/4/2020,4602,Email
1082,Connor Martin,Central,1/5/2023,3324,SMS
1083,Jacqueline Bishop,South,6/5/2020,1925,Phone
1084,Martha Mccall,North,5/31/2022,3144,Email
1085,Steven Wright,Central,8/22/2021,3397,SMS
1086,Robert Rodriguez,East,3/1/2023,4362,Phone
1087,Carla Tran,East,7/22/2020,567,Email
1088,Lindsay Torres,East,12/30/2021,4955,SMS
1089,Matthew Hernandez,North,4/12/2023,4835,Phone
1090,Nicholas Dunlap,South,10/11/2020,3472,Email
1091,Brianna Thomas,South-West,5/23/2023,3573,SMS
1092,Timothy Hill,West,9/7/2023,4506,Phone
